time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
22170,7.600967102,7.028683733,100.3262245,3.69E-58
22200,7.387165318,6.972873094,100.3259556,1.91E-58
22230,7.196840756,6.917413693,100.3268258,9.93E-59
22260,7.03121223,6.862292659,100.328485,5.15E-59
22290,6.891083935,6.807481504,100.3292327,2.67E-59
22320,6.776634931,6.752964396,100.3283098,1.38E-59
22350,6.687694567,6.69872995,100.3288343,7.15E-60
22380,6.624592048,6.644811027,100.3303167,3.70E-60
22410,6.586742134,6.59120993,100.3303322,1.91E-60
22440,6.57221645,6.537833658,100.3311658,9.88E-61
22470,6.579304514,6.484601506,100.332554,5.10E-61
22500,6.606221678,6.431506618,100.3324564,2.63E-61
22530,6.65149469,6.378357564,100.3334933,1.36E-61
22560,6.711560493,6.325517792,100.3345693,7.01E-62
22590,6.783011222,6.273115334,100.3358442,3.61E-62
22620,6.866177261,6.221024018,100.3371923,1.86E-62
22650,6.957839252,6.169198967,100.3370748,9.59E-63
22680,7.055123056,6.11765163,100.3383577,4.94E-63
22710,7.159757848,6.066384527,100.3379463,2.54E-63
22740,7.26876871,6.015379174,100.3394723,1.31E-63
22770,7.379398043,5.96457175,100.3378852,6.72E-64
22800,7.494043477,5.913983522,100.3390175,3.46E-64
22830,7.60944843,5.863674667,100.3383828,1.78E-64
22860,7.725075791,5.813680535,100.3389656,9.14E-65
22890,7.84347555,5.764000947,100.340915,4.69E-65
22920,7.961387825,5.71457788,100.3416809,2.41E-65
22950,8.079381667,5.665353073,100.3431019,1.24E-65
22980,8.20067994,5.616086408,100.343571,6.36E-66
23010,8.322506904,5.56718256,100.3434438,3.26E-66
23040,8.443383873,5.51878009,100.3449492,1.68E-66
23070,8.567505209,5.470667331,100.3441079,8.60E-67
23100,8.692950124,5.422820269,100.3462554,4.41E-67
23130,8.819147901,5.375193393,100.3458775,2.26E-67
23160,8.949644817,5.327790135,100.3475611,1.16E-67
23190,9.081308695,5.280617364,100.348285,5.95E-68
23220,9.215292889,5.233656064,100.3488324,3.05E-68
23250,9.353631747,5.186904047,100.3510259,1.56E-68
23280,9.492852358,5.140372427,100.350562,8.02E-69
23310,9.635875951,5.094047143,100.3500501,4.11E-69
23340,9.782687988,5.047920429,100.352049,2.11E-69
23370,9.930587995,5.00198927,100.35199,1.08E-69
23400,10.08328631,4.956208716,100.3510321,5.54E-70
23430,10.24162977,4.910345167,100.3530103,2.84E-70
23460,10.40290792,4.864741295,100.3525769,1.45E-70
23490,10.56583339,4.819491328,100.3549124,7.45E-71
23520,10.73514078,4.774449664,100.3558209,3.82E-71
23550,10.90859331,4.729579263,100.3559712,1.96E-71
23580,11.08643549,4.684862632,100.3550354,1.00E-71
23610,11.27242658,4.640299547,100.3562842,5.14E-72
23640,11.46289097,4.595880922,100.3577178,2.64E-72
23670,11.6609024,4.551605889,100.359355,1.35E-72
23700,11.86786742,4.507476863,100.3602702,6.93E-73
23730,12.08072123,4.463492382,100.36001,3.55E-73
23760,12.30447905,4.419655145,100.3608175,1.82E-73
23790,12.53761026,4.375958917,100.3618948,9.35E-74
23820,12.77965565,4.332402632,100.3634894,4.79E-74
23850,13.03537064,4.28897112,100.362387,2.46E-74
23880,13.30731149,4.24534859,100.3616475,1.26E-74
23910,13.59080311,4.201957751,100.3613648,6.47E-75
23940,13.88498758,4.158872399,100.3636889,3.32E-75
23970,14.19703778,4.115969434,100.3644399,1.71E-75
24000,14.52416601,4.073247228,100.3664627,8.76E-76
24030,14.87025623,4.030669667,100.3667794,4.50E-76
24060,15.23979989,3.988246848,100.3682867,2.31E-76
24090,15.62974162,3.945967335,100.3701227,1.19E-76
24120,16.04823037,3.903826311,100.3706745,6.09E-77
24150,16.49612205,3.861823643,100.3695322,3.13E-77
24180,16.97457762,3.819997807,100.3696372,1.61E-77
24210,17.49317942,3.778355753,100.369612,8.27E-78
